fan_controller_id,product_id,channels,channel_wattage,pwm_4-pin,form_factor,color
290101,113123,5,10 W,Yes,5.25  in,
290102,113124,4,20 W,Yes,5.25  in,
290103,113125,4,30 W,No,5.25  in,
290104,113126,6,0.03 W,Yes,5.25  in,Black
290105,113127,4,8 W,No,3.5  in,
290106,113128,5,15 W,Yes,5.25  in,
290107,113129,5,25 W,No,2 x 5.25  in,
290108,113130,6,30 W,Yes,5.25  in,
290109,113131,4,10 W,Yes,5.25  in,
290110,113132,6,12 W,Yes,5.25  in,
290111,113133,6,30 W,Yes,5.25  in,
290112,113134,4,,No,5.25  in,
290113,113135,5,10 W,No,5.25  in,
290114,113136,5,60 W,Yes,5.25  in,
290115,113137,4,8 W,No,5.25  in,
290116,113138,5,30 W,No,5.25  in,
290117,113139,5,8 W,Yes,5.25  in,
290118,113140,5,60 W,Yes,5.25  in,
290119,113141,5,6 W,No,2 x 5.25  in,
290120,113142,4,6 W,No,2 x 5.25  in,
290121,113143,5,10 W,Yes,5.25  in,
290122,113144,5,8 W,Yes,5.25  in,
290123,113145,6,30 W,Yes,5.25  in,
290124,113146,4,6 W,No,2 x 5.25  in,
290125,113147,5,60 W,Yes,5.25  in,
290126,113148,4,10 W,Yes,5.25  in,
290127,113149,4,36 W,No,5.25  in,Black
290128,113150,6,30 W,Yes,5.25  in,
290129,113151,6,45 W,Yes,5.25  in,
290130,113152,6,36 W,No,5.25  in,
290131,113153,5,25 W,No,5.25  in,
290132,113154,5,10 W,Yes,5.25  in,
290133,113155,5,0.008 W,No,5.25  in,Black
290134,113156,6,45 W,No,5.25  in,
290135,113157,4,50 W,Yes,5.25  in,
290136,113158,6,15 W,No,5.25  in,
