optical_drive_id,product_id,bd,dvd,cd,bd_write,dvd_write,cd_write
340101,136405,,16,48,,24/8/12/24/6/12/12,48/32
340102,136406,12,16,48,14/12/2/2,16/8/8/16/6/8/5,48/24
340103,136407,12,16,48,14/12/2/2,16/8/8/16/6/8/5,48/24
340104,136408,,16,48,,24/8/8/24/6/8/5,48/24
340105,136409,12,16,40,16/14/2/2,16/8/8/16/6/8/-,40/24
340106,136410,,16,48,,16/13/12/16/8/12/5,48/40
340107,136411,12,16,48,16/12/2/2,16/8/8/16/6/8/5,48/24
340108,136412,,16,48,,24/8/8/24/6/8/5,48/24
340109,136413,12,16,48,16/12/2/2,16/8/8/16/6/8/5,48/24
340110,136414,12,16,40,16/14/2/2,16/8/8/16/6/8/5,40/24
340111,136415,,16,48,,24/8/8/24/6/8/5,48/24
340112,136416,4,8,24,,8/4/4/8/4/4/5,16/10
340113,136417,,16,48,,24/8/8/24/6/8/12,48/24
340114,136418,12,16,48,,16/8/8/16/6/8/5,48/24
340115,136419,,,,16/12/-/-,-/-/-/-/-/-/5,48/24
340116,136420,,,,16/-/-/-,-/16/-/-/16/-/-,-/40
340117,136421,,18,48,,,
340118,136422,6,8,24,6/6/-/-,8/8/6/8/8/6/-,24/16
340119,136423,8,16,48,12/4/2/2,16/8/8/16/6/8/12,48/24
340120,136424,,16,48,,24/8/8/24/6/8/5,48/24
340121,136425,12,16,40,16/14/2/2,16/6/8/16/6/8/5,40/24
340122,136426,,18,48,,,
340123,136427,,16,48,,22/8/16/22/6/12/12,48/24
340124,136428,12,16,48,,16/8/8/16/6/8/12,48/24
340125,136429,,,,12/8/8/6,16/8/8/6/12/8/5,48/24
340126,136430,,16,48,,24/8/16/24/6/12/12,48/32
340127,136431,,8,24,,8/8/6/8/6/6/5,24/16
340128,136432,,16,48,,24/8/8/24/6/8/5,48/24
340129,136433,,16,48,,24/8/12/24/6/12/-,48/32
340130,136434,,16,48,,24/8/12/24/6/12/12,48/24
340131,136435,,16,48,,24/8/8/24/6/8/5,48/24
340132,136436,12,16,48,16/12/2/-,16/8/8/16/6/8/5,48/24
340133,136437,,16,48,,24/8/12/8/6/12/12,48/24
340134,136438,10,16,48,10/8/2/-,16/8/4/16/6/4/-,48/24
340135,136439,,,,,16/8/8/16/6/8/12,48/24
340136,136440,,,40,8/8/8/6,16/12/12/16/12/12/5,48/40
340137,136441,,16,48,,24/8/12/24/6/12/12,48/32
340138,136442,,8,24,,8/8/6/8/6/6/5,24/24
340139,136443,12,16,48,,16/8/8/16/6/8/12,48/24
340140,136444,,8,24,,8/8/6/8/6/6/5,24/24
340141,136445,,16,48,,24/8/12/24/6/12/-,48/32
340142,136446,,16,48,,24/8/8/24/6/-/12,48/32
340143,136447,10,16,48,,16/8/8/16/6/8/12,48/24
340144,136448,6,16,48,10/8/8/6,16/8/8/16/8/8/12,48/24
340145,136449,12,16,,,16/8/8/16/6/8/5,48/24
340146,136450,,16,48,,24/8/12/24/6/-/-,48/32
340147,136451,,5,40,12/8/10/6,16/12/12/16/12/12/5,40/24
340148,136452,,18,48,,,
340149,136453,12,16,48,,16/8/8/16/16/8/12,48/24
340150,136454,,16,48,,24/8/12/24/6/12/12,48/32
340151,136455,,,24,6/6/6/6,8/8/8/8/8/8/4,24/24
340152,136456,,16,48,,24/8/8/24/6/8/5,48/24
340153,136457,,16,48,,24/8/8/24/6/8/12,48/32
340154,136458,,8,24,,8/8/6/8/6/6/5,24/-
340155,136459,,16,48,,16/13/12/16/8/12/5,48/40
340156,136460,,16,48,,24/8/12/24/6/12/12,48/32
340157,136461,,8,24,,,
340158,136462,,,,12/12/2/2,16/12/12/16/12/12/12,48/24
340159,136463,,18,48,,,
340160,136464,6,8,24,6/6/2/-,8/8/6/8/6/6/5,24/24
340161,136465,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/24
340162,136466,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/48
340163,136467,,18,48,,,
340164,136468,,16,40,,,
340165,136469,,,,,16/12/12/16/12/12/12,48/40
340166,136470,,16,48,,22/8/8/22/6/8/12,48/32
340167,136471,,16,48,,24/6/8/24/8/24/-,48/32
340168,136472,,8,24,,8/6/6/8/6/6/5,24/24
340169,136473,,16,48,,22/8/-/22/8/-/12,48/32
340170,136474,,16,48,,24/8/8/24/6/8/12,48/24
340171,136475,,,,,24/8/8/24/8/8/5,48/24
340172,136476,,16,48,,22/8/8/22/6/8/12,48/24
340173,136477,,16,48,,16/8/8/-/6/8/-,48/32
340174,136478,,8,24,,8/8/6/8/6/6/5,24/4
340175,136479,12,16,48,,16/8/8/16/6/8/12,48/4
340176,136480,,16,48,,24/8/8/24/6/8/5,48/24
340177,136481,6,16,40,,,
340178,136482,,8,24,,8/8/6/8/6/6/5,24/24
340179,136483,,,,,16/8/8/16/6/8/-,48/24
340180,136484,,16,48,,24/6/8/24/6/8/-,48/32
340181,136485,,,,,20/8/8/20/6/12/12,48/32
340182,136486,,16,48,,24/8/8/24/6/8/5,48/24
340183,136487,,16,48,,24/8/8/24/6/8/5,48/24
340184,136488,6,8,24,6/6/2/2,8/8/6/8/6/6/5,24/16
340185,136489,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/24
340186,136490,,,,,8/8/6/8/6/6/5,24/24
340187,136491,,22,48,,22/8/16/22/6/12/12,48/24
340188,136492,,,,,24/8/12/24/-/12/12,
340189,136493,,16,48,,22/8/16/22/6/12/12,48/32
340190,136494,,16,48,,24/8/12/24/6/12/12,48/32
340191,136495,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/24
340192,136496,8,16,48,12/8/2/2,8/8/6/8/6/6/5,24/16
340193,136497,12,16,40,15/14/2/2,16/8/8/16/6/8/-,40/24
340194,136498,,16,48,,24/8/12/24/6/12/12,48/32
340195,136499,,16,48,,24/8/12/24/6/12/12,48/32
340196,136500,4,8,32,,,
340197,136501,,16,48,,24/8/-/24/8/-/-,48/32
340198,136502,10,16,48,12/12/2/2,16/8/8/16/6/8/12,48/24
340199,136503,,8,24,,8/6/6/8/6/6/5,24/24
340200,136504,8,16,40,,16/8/8/16/6/8/5,40/24
340201,136505,,,,,24/8/8/24/6/8/5,48/24
340202,136506,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/24
340203,136507,10,16,48,12/12/2/2,16/8/8/16/6/8/12,48/24
340204,136508,,16,48,,24/8/12/24/6/12/12,48/24
340205,136509,6,8,24,,8/8/6/8/6/6/5,24/16
340206,136510,10,16,48,12/12/2/2,16/8/8/16/6/8/12,48/24
340207,136511,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/24
340208,136512,,16,50,,16/8/-/16/8/-/-,40/32
340209,136513,10,16,48,,16/8/8/16/6/8/12,48/24
340210,136514,10,16,48,,16/8/8/16/6/8/12,48/24
340211,136515,,16,48,,24/8/12/24/6/12/12,48/32
340212,136516,,16,48,,22/8/8/22/6/8/12,48/32
340213,136517,,16,48,,24/8/8/24/6/8/12,48/32
340214,136518,,,,,16/8/8/16/6/8/5,48/24
340215,136519,,16,40,,,
340216,136520,8,16,48,12/8/2/2,8/8/6/8/6/6/5,24/16
340217,136521,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/24
340218,136522,12,16,48,14/12/2/2,16/8/8/16/6/8/5,48/24
340219,136523,6,8,24,,8/8/6/8/6/6/5,24/16
340220,136524,,16,48,,22/8/16/22/6/12/12,48/32
340221,136525,,16,48,,24/8/8/24/6/8/5,48/24
340222,136526,,16,48,,24/8/8/24/6/8/12,48/24
340223,136527,,18,48,,16/10/8/16/10/8/5,
340224,136528,,16,48,,24/8/12/24/6/12/12,48/32
340225,136529,,8,24,,,
340226,136530,,,,,24/8/16/24/1/16/12,48/32
340227,136531,,16,48,,24/8/8/24/6/8/12,48/32
340228,136532,,16,48,,24/8/12/24/6/12/12,48/24
340229,136533,,,,,,
340230,136534,6,8,24,6/6/2/2,8/8/6/8/6/6/5,24/16
340231,136535,,16,48,,24/8/8/24/6/8/12,48/32
340232,136536,10,16,48,,16/8/8/16/6/8/12,48/24
340233,136537,,16,48,,,
340234,136538,,16,48,,20/8/8/20/6/8/14,48/32
340235,136539,,16,48,,24/8/12/24/6/12/12,48/32
340236,136540,,16,48,,22/8/8/22/6/8/12,48/32
340237,136541,6,8,24,,8/8/6/8/6/6/5,24/16
340238,136542,12,16,48,,16/8/8/16/6/8/12,48/24
340239,136543,10,16,40,12/12/2/2,16/8/8/16/6/8/-,40/24
340240,136544,,16,48,,24/8/12/24/6/12/12,48/32
340241,136545,,16,48,,22/8/16/22/6/12/12,48/32
340242,136546,,8,24,,8/8/6/8/6/6/5,24/24
340243,136547,,18,48,,,
340244,136548,12,16,48,,16/8/8/16/6/8/12,48/24
340245,136549,4,8,32,,,
340246,136550,10,16,40,12/12/2/2,16/8/8/16/6/8/5,40/24
340247,136551,12,16,48,,16/8/8/16/6/8/12,48/24
340248,136552,8,16,48,8/4/8/4,16/8/16/16/6/16/12,48/32
340249,136553,,16,40,,16/8/8/16/8/8/12,40/-
340250,136554,,16,48,,16/4/4/16/4/-/-,48/32
340251,136555,,8,24,,8/8/6/8/6/6/5,24/24
340252,136556,,16,48,,24/8/12/24/6/12/12,48/32
340253,136557,,,,12/8/2/2,16/8/8/16/6/8/-,48/24
340254,136558,8,12,40,12/12/2/2,16/8/8/16/6/8/-,40/24
340255,136559,,16,48,,24/8/-/24/6/-/-,48/32
340256,136560,,16,48,,24/8/-/24/6/-/-,48/32
340257,136561,6,8,24,6/2/2/2,8/8/6/8/6/6/5,24/4
340258,136562,,16,48,,22/8/16/22/6/12/12,48/32
340259,136563,,8,24,,8/8/6/8/6/6/5,24/24
340260,136564,,22,40,,22/8/12/22/6/12/12,40/32
340261,136565,8,16,40,12/12/2/2,16/8/8/16/6/8/-,40/24
340262,136566,6,8,24,6/6/2/2,8/8/8/8/6/8/-,24/24
340263,136567,,8,24,,8/8/8/8/6/8/5,24/4
340264,136568,,16,48,,,
340265,136569,,18,48,,,
340266,136570,10,16,48,,16/8/-/16/6/-/-,48/24
340267,136571,,,,,16/8/8/16/6/8/5,40/24
340268,136572,,16,48,,24/8/8/24/6/8/5,48/24
340269,136573,,8,24,,,
340270,136574,,16,48,,24/8/12/24/6/12/12,48/32
340271,136575,,16,48,,24/8/12/24/6/12/12,48/32
340272,136576,,16,48,,22/8/12/22/6/12/12,48/24
340273,136577,,16,48,,24/8/12/24/6/12/12,48/32
340274,136578,,8,24,,8/8/6/8/6/6/5,24/24
340275,136579,4,12,32,,,
340276,136580,,16,40,,,
340277,136581,,8,24,,8/8/6/8/6/6/5,24/24
340278,136582,,16,48,,22/8/16/22/6/12/12,48/24
340279,136583,,8,24,,8/8/6/8/6/6/5,24/24
340280,136584,,16,48,,24/8/-/24/8/-/-,48/24
340281,136585,,16,48,,22/8/12/22/6/12/12,48/24
340282,136586,,16,48,,24/8/12/24/6/12/12,48/24
340283,136587,,8,24,,8/8/6/8/6/6/5,24/24
340284,136588,12,16,40,15/14/2/2,16/8/8/16/6/8/5,40/24
340285,136589,,,,,,
340286,136590,,18,48,,,
340287,136591,8,16,40,12/12/2/2,16/8/8/16/6/8/5,40/24
340288,136592,,16,48,,22/8/16/22/6/12/12,48/32
340289,136593,,16,48,,22/8/16/22/6/12/12,48/24
340290,136594,6,16,48,6/4/6/4,16/8/8/16/8/8/-,48/32
340291,136595,10,16,40,12/12/2/2,16/8/8/16/6/8/-,40/24
340292,136596,,16,48,,,
340293,136597,,18,48,,,
340294,136598,,16,48,,24/8/12/24/6/12/12,48/32
340295,136599,12,16,48,,16/8/8/16/6/8/12,48/24
340296,136600,,16,40,,16/12/12/16/12/12/-,48/40
340297,136601,8,,,,16/16/8/16/16/8/-,48/24
340298,136602,,16,48,,22/8/8/22/6/8/12,48/24
340299,136603,,16,48,,24/8/12/24/6/12/12,48/32
340300,136604,,8,,,8/-/-/8/-/-/-,
340301,136605,,18,48,,,
340302,136606,,16,48,,22/8/12/22/6/12/12,48/32
340303,136607,8,16,48,,16/8/8/16/6/8/12,48/48
340304,136608,10,16,40,12/12/2/2,16/8/8/16/6/8/5,40/24
340305,136609,,16,48,,22/8/-/22/6/-/12,48/32
340306,136610,,16,48,,24/8/8/24/6/8/-,48/32
340307,136611,,16,48,,22/8/16/22/6/16/12,48/32
340308,136612,,16,48,,22/8/16/22/6/12/12,48/24
340309,136613,,16,48,,22/8/8/22/6/8/12,48/32
340310,136614,,16,48,,24/8/12/24/6/12/12,48/32
340311,136615,,16,48,,22/8/-/22/6/-/12,48/32
340312,136616,,8,24,,8/8/6/8/6/6/5,24/24
340313,136617,,16,48,,22/8/8/22/6/8/12,48/32
340314,136618,8,16,48,,16/8/8/16/6/8/12,48/32
340315,136619,,8,24,,8/8/6/8/6/6/5,24/24
340316,136620,,12,40,,8/4/2/8/4/2/-,40/24
340317,136621,10,16,40,6/-/8/-,16/8/8/12/8/8/12,48/40
