software_id,product_id,type,media_type
355101,138705,Office & Productivity,Product Key Card
355102,138706,Antivirus,Product Key Card
355103,138707,Audio & Video,Download
355104,138708,Office & Productivity,Product Key Card
355105,138709,Design & Illustration,Download
355106,138710,Antivirus,Download
355107,138711,Office & Productivity,Product Key Card
355108,138712,Office & Productivity,Product Key Card
355109,138713,Office & Productivity,Product Key Card
355110,138714,Audio & Video,Download
355111,138715,Antivirus,Download
355112,138716,Antivirus,Product Key Card
355113,138717,Office & Productivity,Product Key Card
355114,138718,Design & Illustration,CD/DVD
355115,138719,Audio & Video,CD/DVD
355116,138720,Office & Productivity,Download
355117,138721,Internet Security,Download
355118,138722,Internet Security,Product Key Card
355119,138723,Office & Productivity,Product Key Card
355120,138724,Internet Security,Download
355121,138725,Office & Productivity,Product Key Card
355122,138726,Audio & Video,CD/DVD
355123,138727,Backup,Product Key Card
355124,138728,Office & Productivity,Product Key Card
355125,138729,Antivirus,Product Key Card
355126,138730,Internet Security,Product Key Card
355127,138731,Audio & Video,CD/DVD
355128,138732,Audio & Video,Product Key Card
355129,138733,Internet Security,CD/DVD
355130,138734,Photography,CD/DVD
355131,138735,Office & Productivity,Download
355132,138736,Office & Productivity,Product Key Card
355133,138737,Antivirus,Product Key Card
355134,138738,Antivirus,Product Key Card
355135,138739,Office & Productivity,Product Key Card
355136,138740,Internet Security,Download
355137,138741,Office & Productivity,Product Key Card
355138,138742,Audio & Video,Download
355139,138743,Design & Illustration,Download
355140,138744,Office & Productivity,Download
355141,138745,Internet Security,Product Key Card
355142,138746,Internet Security,Download
355143,138747,Office & Productivity,CD/DVD
355144,138748,Office & Productivity,Product Key Card
355145,138749,Internet Security,CD/DVD
355146,138750,Audio & Video,Download
355147,138751,Office & Productivity,Download
355148,138752,Audio & Video,Download
355149,138753,Office & Productivity,Product Key Card
355150,138754,Design & Illustration,CD/DVD
355151,138755,Audio & Video,CD/DVD
355152,138756,Internet Security,Product Key Card
355153,138757,Internet Security,Download
355154,138758,Audio & Video,CD/DVD
355155,138759,Internet Security,Product Key Card
355156,138760,Audio & Video,CD/DVD
355157,138761,Office & Productivity,Download
355158,138762,Internet Security,Product Key Card
355159,138763,Internet Security,Product Key Card
355160,138764,Backup,Download
355161,138765,Internet Security,Product Key Card
355162,138766,Photography,Download
355163,138767,Internet Security,Product Key Card
355164,138768,Utilities,Download
355165,138769,Photography,CD/DVD
355166,138770,Photography,CD/DVD
355167,138771,Audio & Video,CD/DVD
355168,138772,Audio & Video,CD/DVD
355169,138773,Audio & Video,CD/DVD
355170,138774,Antivirus,Product Key Card
355171,138775,Utilities,Download
355172,138776,Internet Security,Product Key Card
355173,138777,Audio & Video,Download
355174,138778,Audio & Video,CD/DVD
355175,138779,Backup,Product Key Card
355176,138780,Internet Security,Download
355177,138781,Office & Productivity,Download
355178,138782,Office & Productivity,Download
355179,138783,Utilities,Download
355180,138784,Internet Security,Product Key Card
355181,138785,Office & Productivity,Product Key Card
355182,138786,Internet Security,Download
355183,138787,Audio & Video,CD/DVD
355184,138788,Utilities,Download
355185,138789,Utilities,Download
355186,138790,Antivirus,Download
355187,138791,Internet Security,Product Key Card
355188,138792,Internet Security,Product Key Card
355189,138793,Office & Productivity,Download
355190,138794,Backup,Download
355191,138795,Design & Illustration,Download
355192,138796,Office & Productivity,Product Key Card
355193,138797,Audio & Video,CD/DVD
355194,138798,Photography,Download
355195,138799,Internet Security,Download
355196,138800,Internet Security,Product Key Card
355197,138801,Design & Illustration,Download
355198,138802,Audio & Video,Download
355199,138803,Design & Illustration,CD/DVD
355200,138804,Internet Security,Download
355201,138805,Backup,Download
355202,138806,Backup,Product Key Card
355203,138807,Audio & Video,Download
355204,138808,Design & Illustration,Download
355205,138809,Internet Security,Download
355206,138810,Utilities,Download
355207,138811,Utilities,Download
355208,138812,Audio & Video,Download
355209,138813,Backup,Download
355210,138814,Audio & Video,Download
355211,138815,Audio & Video,Download
355212,138816,Audio & Video,CD/DVD
355213,138817,Backup,Download
355214,138818,Backup,Product Key Card
355215,138819,Backup,Download
355216,138820,Backup,Download
355217,138821,Utilities,Download
355218,138822,Backup,CD/DVD
355219,138823,Audio & Video,CD/DVD
355220,138824,Audio & Video,Product Key Card
355221,138825,Internet Security,Download
355222,138826,Photography,CD/DVD
355223,138827,Office & Productivity,Product Key Card
355224,138828,Utilities,Download
355225,138829,Photography,Download
355226,138830,Audio & Video,Download
355227,138831,Audio & Video,CD/DVD
355228,138832,Internet Security,Product Key Card
355229,138833,Backup,Product Key Card
355230,138834,Utilities,Download
355231,138835,Photography,CD/DVD
355232,138836,Backup,Product Key Card
355233,138837,Backup,Download
355234,138838,Internet Security,Product Key Card
355235,138839,Audio & Video,Download
355236,138840,Audio & Video,Download
355237,138841,Backup,Download
355238,138842,Backup,Download
355239,138843,Audio & Video,CD/DVD
355240,138844,Internet Security,Product Key Card
355241,138845,Backup,Download
355242,138846,Backup,Download
355243,138847,Audio & Video,Download
