thermal_paste_id,product_id,amount
370101,139114,3.5 g
370102,139115,1 g
370103,139116,5.5 g
370104,139117,4 g
370105,139118,600 g
370106,139119,3.5 g
370107,139120,1 g
370108,139121,4 g
370109,139122,3.5 g
370110,139123,3.5 g
370111,139124,1.75 g
370112,139125,3 g
370113,139126,65 g
370114,139127,4 g
370115,139128,5 g
370116,139129,12 g
370117,139130,0.5 g
370118,139131,10 g
370119,139132,3.9 g
370120,139133,6.2 g
370121,139134,4 g
370122,139135,2.7 g
370123,139136,0.01 g
370124,139137,10 g
370125,139138,4 g
370126,139139,1 g
370127,139140,1.5 g
370128,139141,4 g
370129,139142,20 g
370130,139143,200 g
370131,139144,14 g
370132,139145,4 g
370133,139146,1.5 g
370134,139147,4 g
370135,139148,2 g
370136,139149,1.5 g
370137,139150,3 g
370138,139151,3.9 g
370139,139152,300 g
370140,139153,0.15 g
370141,139154,1.5 g
370142,139155,65 g
370143,139156,1 g
370144,139157,1 g
370145,139158,3.5 g
370146,139159,1.5 g
370147,139160,20 g
370148,139161,5.8 g
370149,139162,2 g
370150,139163,30 g
370151,139164,0.15 g
370152,139165,1.5 g
370153,139166,4 g
370154,139167,25 g
370155,139168,3 g
370156,139169,5 g
370157,139170,4 g
370158,139171,4 g
370159,139172,5 g
370160,139173,0.5 g
370161,139174,30 g
370162,139175,7 g
370163,139176,4.8 g
370164,139177,1.5 g
370165,139178,40 g
370166,139179,5 g
370167,139180,30 g
370168,139181,3.5 g
370169,139182,1.5 g
370170,139183,30 g
370171,139184,30 g
370172,139185,4 g
370173,139186,1.5 g
370174,139187,3.5 g
370175,139188,4 g
370176,139189,2 g
370177,139190,9 g
370178,139191,1.5 g
370179,139192,7 g
370180,139193,2 g
370181,139194,20 g
370182,139195,5 g
370183,139196,1.5 g
370184,139197,3.5 g
370185,139198,20 g
370186,139199,1.5 g
370187,139200,4 g
370188,139201,1 g
370189,139202,4 g
370190,139203,4 g
370191,139204,1.5 g
370192,139205,5 g
370193,139206,30 g
370194,139207,1.5 g
370195,139208,3 g
370196,139209,25 g
370197,139210,4 g
370198,139211,5 g
370199,139212,3 g
370200,139213,4 g
370201,139214,3 g
370202,139215,3.5 g
370203,139216,40 g
